faqid,query,ans
1,How can improve my English speaking?,1
1,How can I increase my English fluency?,1
1,What is the best way of improving spoken English?,1
4,Why do so many people ask questions on Quora instead of searching the answers on Wikipedia?,4
4,Why do people ask questions on Quora while They can get all the answers by Googling?,4
4,Why don't people just Google info for themselves instead of using Quora? Aren't the people answering just copying what they found on Google anyway?,4
7,Will there be a third World War?,7
7,When is the most likely time WW3 will happen?,7
7,Are we heading toward World War 3?,7
8,How can I realistically make money online?,8
8,What is the easy way to make money online?,8
8,What are some easy ways to make done extra money online?,8
9,How do I prepare for IAS? And which books should I refer for the same?,9
9,How should I start my preparation for IAS as an engineering student?,9
9,I am starting preparation for IAS UPSC Exam . Which book should I buy for CSAT preparation 2016 exam?,9
12,How do I increase my height after 22?,12
12,"Is there a way to get taller, and increase your height?",12
12,I'm 16 and 5'2.5. How can I ACTIVELY grow taller?,12
14,What is your New Year Resolution?,14
14,What are some meaningful new year resolutions for 2017?,14
14,What is your New Year's resolution for 2017?,14
15,What is the quickest and less painful way to commit suicide?,15
15,What is the easiest and painless way to commit suicide?,15
15,I want to commit suicide. What is the easiest way?,15
16,What should the purpose of your life?,16
16,What is ultimate purpose of life?,16
16,What's the purpose of life? What is life actually about?,16
17,How do i get traffic for website?,17
17,How can I increase traffic to my site and what are some suggestions on how to get more of it?,17
17,How can I increase the traffic on my website?,17
18,What are some of the real life Alien Encounters (with proof)?,18
18,What is the best evidence for the existence of aliens?,18
18,Is there any physical proof of aliens on earth?,18
20,Is time travel possible in next 5 years?,20
20,Could time travel be a real thing? Could it be scientifically explained?,20
20,Is time travel still theorized as being possible?,20
21,What is the best way to achieve emotional self control?,21
21,Can we control our feelings and emotions?,21
21,How do I stop letting my emotions control me?,21
22,Why its taking long time to answer my question in Quora? I have been asking since yesterday .I wander why no one answer?,22
22,Why don't people on Quora answer to my questions?,22
22,Why are some questions not answered on Quora?,22
23,What are the best places to visit in Kerala? What is the best way of transportation there?,23
23,What are the places to visit for a honeymoon in Kerala?,23
23,What are some good beaches to visit in Kerala?,23
25,Why Indians are failing to place gold in Olympics or other international events?,25
25,Why India fails to get medals in Olympics?,25
25,"With a population of over 1 billion, why does India fail to shine in the Olympics?",25
27,Is it possible to login to Facebook without password?,27
27,Is there any way to reset my Facebook personal upload email address?,27
27,I forgot my Facebook email and password how can I log in?,27
28,How do I trace the exact location of a mobile phone in India? What things are required for that?,28
28,How can I trace phone calls from a cell phone?,28
28,How do I track a person basing on his mobile phone?,28
29,"Is the potential energy of vacuum energy, virtual particles and/or dark energy infinite? NO MERGE",29
29,If dark and vacuum energy are created with expansion is there potential energy that transforms into these types of energy with expansion?,29
29,"If universe expands and vacuum energy is created with it (with no limit),is there infinite potential energy/infinite vacuum energy that can be created?",29
30,What are the safety precautions on handling shotguns proposed by the NRA in Utah?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in Kentucky?,30
30,What are the safety precautions on handling shotguns proposed by the NRA in New Hampshire?,30
31,How do I find whether my girl friend is cheating on me?,31
31,How do I know my partner is cheating on me?,31
31,How do I know my partner is in another relationship?,31
33,Can you get pregnant 8 days before your period?,33
33,How possible is it to get pregnant one day after my 3 day period?,33
33,Can you get pregnant the day before your period starts?,33
34,What should I do to avoid laziness?,34
34,How do I stop my bad habit of procrastination?,34
34,What should somebody do to get rid of his laziness?,34
36,What is the best source to learn Python?,36
36,I am New to Deep Learning. How do I start with Python?,36
36,Is Python good to start learning programming?,36
37,How did Donald trump win?,37
37,How did Donald Trump become president?,37
37,How did Donald trump win the elections?,37
38,How do I make my penis longer?,38
38,How do I increase the size of a penis?,38
38,How do I increase the size of my penis without surgery?,38
39,Why does periods get late?,39
39,What can cause a woman's period to be late?,39
39,Can a woman be late on her period and not pregnant?,39
40,Can meth be out of your system in 48 hours?,40
40,Daily user of meth how long will take to clean your system?,40
40,I've never smoked meth until Saturday at 2am. I have a drug test urine iCup test on Thursday. Will I test negative on a drug screen?,40
41,What will be the effect of Donald Trump becoming the president of US on India?,41
41,What does Trump's win mean for India?,41
41,How will Donald trump's Victory would affect India's relationship with USA?,41
42,How do I remove pimple?,42
42,How can I get rid of acne and its effect?,42
42,What are some permanent ways of getting rid of acne?,42
43,Does milk flush the meth out of your system?,43
43,What is the quickest way to get meth out your system?,43
43,Is there anything you can take to pass a urine test for meth?,43
44,How do I get funding for my startup idea before we have a prototype?,44
44,How can I get funds for my business idea?,44
44,How should I get my product idea funded if I live in India?,44
45,What will be the effect of recent demonetization of rs500 and rs 1000 notes on the real estate or property business?,45
